Company,InsuranceGroup,VehicleType,Region,Date,Premium,Vehicles
Company 5,Group A,Motorcycles,Calgary,2015-12-01,88519,243.0833335
Company 6,Group A,Motorcycles,Calgary,2015-12-01,1097,5.66666667
Company 9,Group A,Motorcycles,Calgary,2015-12-01,574,4
Company 3,Group A,Motorcycles,Calgary,2015-12-01,625,1.41666667
Company 4,Group A,Motorcycles,Calgary,2015-12-01,5861,13.16666666
Company 7,Group A,Motorcycles,Central,2015-12-01,9056,30.08333333
Company 5,Group A,Motorcycles,Central,2015-12-01,123915,287.0833335
Company 6,Group A,Motorcycles,Central,2015-12-01,3348,9.83333334
Company 3,Group A,Motorcycles,Central,2015-12-01,2190,5
Company 4,Group A,Motorcycles,Central,2015-12-01,1324,2.41666667
Company 9,Group A,Motorcycles,Central,2015-12-01,182,1
Company 4,Group A,Motorcycles,Central,2015-11-01,-86,1.75
Company 6,Group A,Motorcycles,Central,2015-11-01,3038,5.25000003
Company 5,Group A,Motorcycles,Central,2015-11-01,108259,292.7500004
Company 8,Group A,Motorcycles,Central,2015-11-01,431,0.5
Company 3,Group A,Motorcycles,Central,2015-11-01,439,1
Company 7,Group A,Motorcycles,Central,2015-11-01,16897,42.75000001
Company 9,Group A,Motorcycles,Central,2015-11-01,1055,3
Company 9,Group A,Motorcycles,Central,2015-10-01,18,0.08333334
Company 8,Group A,Motorcycles,Central,2015-10-01,-18,-0.41666666
Company 3,Group A,Motorcycles,Central,2015-10-01,402,1
Company 7,Group A,Motorcycles,Central,2015-10-01,8492,29.33333333
Company 5,Group A,Motorcycles,Central,2015-10-01,212336,537.5000004
Company 4,Group A,Motorcycles,Central,2015-10-01,1765,5.75
Company 7,Group A,Motorcycles,Calgary,2016-12-01,14490,36.83333337
Company 9,Group A,Motorcycles,Calgary,2016-12-01,1377,4.41666666
Company 3,Group A,Motorcycles,Calgary,2016-12-01,691,2
Company 5,Group A,Motorcycles,Calgary,2016-12-01,89147,278.1666669
Company 6,Group A,Motorcycles,Calgary,2016-12-01,-36,4.41666667
Company 3,Group A,Motorcycles,Central,2016-12-01,1770,4
Company 7,Group A,Motorcycles,Central,2016-12-01,11895,35.41666668
Company 6,Group A,Motorcycles,Central,2016-12-01,3781,6.58333334
Company 9,Group A,Motorcycles,Central,2016-12-01,-205,0.58333334
Company 4,Group A,Motorcycles,Central,2016-12-01,1086,2
Company 5,Group A,Motorcycles,Central,2016-12-01,149175,377.8333336
Company 3,Group A,Motorcycles,Central,2016-11-01,439,1
Company 7,Group A,Motorcycles,Central,2016-11-01,19441,54.41666664
Company 6,Group A,Motorcycles,Central,2016-11-01,2327,4.16666669
Company 5,Group A,Motorcycles,Central,2016-11-01,136833,367.2500005
Company 9,Group A,Motorcycles,Central,2016-11-01,925,2
Company 4,Group A,Motorcycles,Central,2016-11-01,1481,4.5
Company 9,Group A,Motorcycles,Central,2016-10-01,71,-0.08333333
Company 6,Group A,Motorcycles,Central,2016-10-01,8452,22.00000001
Company 4,Group A,Motorcycles,Central,2016-10-01,1635,5
Company 7,Group A,Motorcycles,Central,2016-10-01,9391,34.66666668
Company 3,Group A,Motorcycles,Central,2016-10-01,-135,-1.24999999
Company 5,Group A,Motorcycles,Central,2016-10-01,205386,557.0000005
Company 3,Group A,Motorcycles,Central,2016-09-01,1634,3.41666667
Company 9,Group A,Motorcycles,Central,2016-09-01,347,2
Company 5,Group A,Motorcycles,Central,2016-09-01,295832,735.9166672
Company 7,Group A,Motorcycles,Central,2016-09-01,21569,54.58333336
Company 6,Group A,Motorcycles,Central,2016-09-01,15360,39.75000002
Company 4,Group A,Motorcycles,Central,2016-09-01,1113,1.83333334
Company 3,Group A,Motorcycles,Central,2016-08-01,546,2
Company 6,Group A,Motorcycles,Central,2016-08-01,14725,30.66666672
Company 9,Group A,Motorcycles,Central,2016-08-01,13,-0.33333332
Company 5,Group A,Motorcycles,Central,2016-08-01,440423,1036.750001
Company 4,Group A,Motorcycles,Central,2016-08-01,462,-1.58333332
Company 7,Group A,Motorcycles,Central,2016-08-01,23283,73.24999999
Company 3,Group A,Motorcycles,Central,2016-07-01,30,0
Company 9,Group A,Motorcycles,Central,2016-07-01,538,3
Company 4,Group A,Motorcycles,Central,2016-07-01,1178,3.66666667
Company 7,Group A,Motorcycles,Central,2016-07-01,25366,66.33333323
Company 6,Group A,Motorcycles,Central,2016-07-01,27625,72.50000001
Company 5,Group A,Motorcycles,Central,2016-07-01,657149,1590.5
Company 4,Group A,Motorcycles,Central,2016-06-01,112,0.5
Company 7,Group A,Motorcycles,Central,2016-06-01,30313,91.24999992
Company 9,Group A,Motorcycles,Central,2016-06-01,518,3.91666666
Company 6,Group A,Motorcycles,Central,2016-06-01,28252,77.50000004
Company 3,Group A,Motorcycles,Central,2016-06-01,3128,9.33333334
Company 5,Group A,Motorcycles,Central,2016-06-01,893016,2080.25
Company 4,Group A,Motorcycles,Central,2016-05-01,892,5.33333334
Company 9,Group A,Motorcycles,Central,2016-05-01,1679,6.08333333
Company 6,Group A,Motorcycles,Central,2016-05-01,39629,100.6666667
Company 5,Group A,Motorcycles,Central,2016-05-01,1070044,2490.416666
Company 3,Group A,Motorcycles,Central,2016-05-01,0,0
Company 7,Group A,Motorcycles,Central,2016-05-01,34805,98.33333323
Company 3,Group A,Motorcycles,Central,2016-04-01,1458,5.83333334
Company 9,Group A,Motorcycles,Central,2016-04-01,632,3.41666666
Company 5,Group A,Motorcycles,Central,2016-04-01,1141164,2579.999999
Company 4,Group A,Motorcycles,Central,2016-04-01,6881,14.66666666
Company 6,Group A,Motorcycles,Central,2016-04-01,19465,63.6666667
Company 7,Group A,Motorcycles,Central,2016-04-01,28032,77.24999991
Company 4,Group A,Motorcycles,Central,2016-03-01,4539,9.91666666
Company 7,Group A,Motorcycles,Central,2016-03-01,30221,84.24999997
Company 5,Group A,Motorcycles,Central,2016-03-01,626764,1360.083333
Company 9,Group A,Motorcycles,Central,2016-03-01,490,3
Company 6,Group A,Motorcycles,Central,2016-03-01,12601,28.58333336
Company 3,Group A,Motorcycles,Central,2016-03-01,610,1
Company 8,Group A,Motorcycles,Central,2016-02-01,0,0
Company 3,Group A,Motorcycles,Central,2016-02-01,1233,2.66666667
Company 4,Group A,Motorcycles,Central,2016-02-01,952,3.25
Company 6,Group A,Motorcycles,Central,2016-02-01,4018,13.66666668
Company 9,Group A,Motorcycles,Central,2016-02-01,356,2
Company 5,Group A,Motorcycles,Central,2016-02-01,250865,569.2500001
Company 7,Group A,Motorcycles,Central,2016-02-01,19390,45.08333332
Company 4,Group A,Motorcycles,Central,2016-01-01,3170,6
Company 9,Group A,Motorcycles,Central,2016-01-01,265,2
Company 5,Group A,Motorcycles,Central,2016-01-01,155103,351.1666669
Company 7,Group A,Motorcycles,Central,2016-01-01,15416,40.25000002
Company 3,Group A,Motorcycles,Central,2016-01-01,0,0
Company 6,Group A,Motorcycles,Central,2016-01-01,3398,5.50000002
Company 7,Group A,Motorcycles,Edmonton,2016-01-01,12892,38.25000001
Company 5,Group A,Motorcycles,Edmonton,2016-01-01,124105,284.4166668
Company 8,Group A,Motorcycles,Edmonton,2016-01-01,7,0.25
Company 9,Group A,Motorcycles,Edmonton,2016-01-01,522,3
Company 4,Group A,Motorcycles,Edmonton,2016-01-01,829,3
Company 6,Group A,Motorcycles,Edmonton,2016-01-01,2275,4.16666669
Company 3,Group A,Motorcycles,Edmonton,2016-01-01,365,1
Company 6,Group A,Motorcycles,Edmonton,2016-02-01,7407,17.66666669
Company 4,Group A,Motorcycles,Edmonton,2016-02-01,2374,3.91666666
Company 9,Group A,Motorcycles,Edmonton,2016-02-01,664,4
Company 3,Group A,Motorcycles,Edmonton,2016-02-01,1056,3
Company 7,Group A,Motorcycles,Edmonton,2016-02-01,10262,28.25
Company 5,Group A,Motorcycles,Edmonton,2016-02-01,198302,461.4166667
Company 8,Group A,Motorcycles,Edmonton,2016-02-01,9,0.16666666
Company 6,Group A,Motorcycles,Edmonton,2016-03-01,27347,53.50000004
Company 8,Group A,Motorcycles,Edmonton,2016-03-01,9,0
Company 3,Group A,Motorcycles,Edmonton,2016-03-01,741,2
Company 7,Group A,Motorcycles,Edmonton,2016-03-01,22468,57.33333332
Company 9,Group A,Motorcycles,Edmonton,2016-03-01,798,5
Company 5,Group A,Motorcycles,Edmonton,2016-03-01,519915,1178.416667
Company 4,Group A,Motorcycles,Edmonton,2016-03-01,7646,20.33333334
Company 3,Group A,Motorcycles,Edmonton,2016-04-01,1224,3.33333334
Company 8,Group A,Motorcycles,Edmonton,2016-04-01,0,0
Company 6,Group A,Motorcycles,Edmonton,2016-04-01,34536,89.83333336
Company 4,Group A,Motorcycles,Edmonton,2016-04-01,3917,11.00000002
Company 5,Group A,Motorcycles,Edmonton,2016-04-01,985745,2295.833333
Company 7,Group A,Motorcycles,Edmonton,2016-04-01,41305,111.5833332
Company 9,Group A,Motorcycles,Edmonton,2016-04-01,2516,16.08333333
Company 6,Group A,Motorcycles,Edmonton,2016-05-01,63877,165.3333333
Company 9,Group A,Motorcycles,Edmonton,2016-05-01,2536,9.74999998
Company 7,Group A,Motorcycles,Edmonton,2016-05-01,38521,108.6666666
Company 5,Group A,Motorcycles,Edmonton,2016-05-01,985565,2375.666666
Company 4,Group A,Motorcycles,Edmonton,2016-05-01,3561,6.33333334
Company 3,Group A,Motorcycles,Edmonton,2016-05-01,3253,8
Company 3,Group A,Motorcycles,Edmonton,2016-06-01,610,2.16666667
Company 7,Group A,Motorcycles,Edmonton,2016-06-01,32378,96.58333326
Company 9,Group A,Motorcycles,Edmonton,2016-06-01,1237,7.58333333
Company 6,Group A,Motorcycles,Edmonton,2016-06-01,46104,118.5833334
Company 5,Group A,Motorcycles,Edmonton,2016-06-01,741403,1895.25
Company 4,Group A,Motorcycles,Edmonton,2016-06-01,4433,6.08333332
Company 5,Group A,Motorcycles,Edmonton,2016-07-01,533339,1389.666667
Company 3,Group A,Motorcycles,Edmonton,2016-07-01,630,2
Company 4,Group A,Motorcycles,Edmonton,2016-07-01,4850,10.25
Company 7,Group A,Motorcycles,Edmonton,2016-07-01,25294,79.58333328
Company 9,Group A,Motorcycles,Edmonton,2016-07-01,2556,8.83333331
Company 6,Group A,Motorcycles,Edmonton,2016-07-01,33937,76.25000003
Company 4,Group A,Motorcycles,Edmonton,2016-08-01,2694,3.83333334
Company 6,Group A,Motorcycles,Edmonton,2016-08-01,21102,64.91666672
Company 7,Group A,Motorcycles,Edmonton,2016-08-01,31429,93.49999998
Company 9,Group A,Motorcycles,Edmonton,2016-08-01,319,3.16666666
Company 3,Group A,Motorcycles,Edmonton,2016-08-01,324,1
Company 5,Group A,Motorcycles,Edmonton,2016-08-01,387874,1029.833333
Company 3,Group A,Motorcycles,Edmonton,2016-09-01,281,0.75
Company 5,Group A,Motorcycles,Edmonton,2016-09-01,268009,708.7500004
Company 4,Group A,Motorcycles,Edmonton,2016-09-01,2977,5.08333333
Company 9,Group A,Motorcycles,Edmonton,2016-09-01,2495,7.24999999
Company 6,Group A,Motorcycles,Edmonton,2016-09-01,11816,30.66666671
Company 7,Group A,Motorcycles,Edmonton,2016-09-01,25685,69.75
Company 5,Group A,Motorcycles,Edmonton,2016-10-01,164643,456.5000005
Company 7,Group A,Motorcycles,Edmonton,2016-10-01,11947,46.5
Company 6,Group A,Motorcycles,Edmonton,2016-10-01,9022,22.00000002
Company 3,Group A,Motorcycles,Edmonton,2016-10-01,823,3
Company 9,Group A,Motorcycles,Edmonton,2016-10-01,390,4.58333333
Company 4,Group A,Motorcycles,Edmonton,2016-10-01,1641,3.5
Company 4,Group A,Motorcycles,Edmonton,2016-11-01,5342,6
Company 9,Group A,Motorcycles,Edmonton,2016-11-01,1468,7.41666668
Company 5,Group A,Motorcycles,Edmonton,2016-11-01,128874,352.2500004
Company 7,Group A,Motorcycles,Edmonton,2016-11-01,13263,50.00000002
Company 3,Group A,Motorcycles,Edmonton,2016-11-01,1749,5
Company 6,Group A,Motorcycles,Edmonton,2016-11-01,5312,7.91666671
Company 7,Group A,Motorcycles,Edmonton,2016-12-01,14037,43.33333333
Company 5,Group A,Motorcycles,Edmonton,2016-12-01,96845,260.7500003
Company 9,Group A,Motorcycles,Edmonton,2016-12-01,348,2
Company 3,Group A,Motorcycles,Edmonton,2016-12-01,1304,3.08333334
Company 6,Group A,Motorcycles,Edmonton,2016-12-01,2963,3.41666669
Company 4,Group A,Motorcycles,Edmonton,2016-12-01,939,3.58333333
Company 6,Group A,Motorcycles,North,2016-12-01,3268,3.58333334
Company 7,Group A,Motorcycles,North,2016-12-01,12108,31.58333333
Company 5,Group A,Motorcycles,North,2016-12-01,61825,149.9166668
Company 9,Group A,Motorcycles,North,2016-12-01,-182,-0.91666666
Company 3,Group A,Motorcycles,North,2016-12-01,130,0.33333333
Company 4,Group A,Motorcycles,North,2016-12-01,14,1.41666667
Company 7,Group A,Motorcycles,North,2016-11-01,7651,19.00000001
Company 3,Group A,Motorcycles,North,2016-11-01,0,0
Company 4,Group A,Motorcycles,North,2016-11-01,3747,5.66666667
Company 9,Group A,Motorcycles,North,2016-11-01,119,0.00000001
Company 5,Group A,Motorcycles,North,2016-11-01,85657,202.4166669
Company 6,Group A,Motorcycles,North,2016-11-01,1180,4.08333335
Company 6,Group A,Motorcycles,North,2016-10-01,2845,7.33333335
Company 7,Group A,Motorcycles,North,2016-10-01,10872,30.83333333
Company 9,Group A,Motorcycles,North,2016-10-01,182,1
Company 4,Group A,Motorcycles,North,2016-10-01,1473,5.91666667
Company 3,Group A,Motorcycles,North,2016-10-01,-768,-2.25
Company 5,Group A,Motorcycles,North,2016-10-01,108815,248.0000003
Company 7,Group A,Motorcycles,North,2016-09-01,12801,31.50000001
Company 5,Group A,Motorcycles,North,2016-09-01,161680,389.8333336
Company 4,Group A,Motorcycles,North,2016-09-01,1543,3.49999999
Company 6,Group A,Motorcycles,North,2016-09-01,6455,19.41666668
Company 9,Group A,Motorcycles,North,2016-09-01,-148,0
Company 5,Group A,Motorcycles,North,2016-08-01,266405,568.416667
Company 6,Group A,Motorcycles,North,2016-08-01,8808,25.08333335
Company 4,Group A,Motorcycles,North,2016-08-01,7711,14.08333333
Company 3,Group A,Motorcycles,North,2016-08-01,2220,6.91666665
Company 7,Group A,Motorcycles,North,2016-08-01,12548,37
Company 9,Group A,Motorcycles,North,2016-08-01,286,2.33333332
Company 7,Group A,Motorcycles,North,2016-07-01,18455,50.99999994
Company 3,Group A,Motorcycles,North,2016-07-01,2360,5
Company 6,Group A,Motorcycles,North,2016-07-01,23357,48.58333338
Company 5,Group A,Motorcycles,North,2016-07-01,417336,916.5833334
Company 9,Group A,Motorcycles,North,2016-07-01,1720,1.66666666
Company 4,Group A,Motorcycles,North,2016-07-01,2277,3.83333333
Company 4,Group A,Motorcycles,North,2016-06-01,558,2.91666666
Company 6,Group A,Motorcycles,North,2016-06-01,24223,66.33333334
Company 9,Group A,Motorcycles,North,2016-06-01,690,5.08333332
Company 7,Group A,Motorcycles,North,2016-06-01,23716,53.66666661
Company 3,Group A,Motorcycles,North,2016-06-01,232,1
Company 5,Group A,Motorcycles,North,2016-06-01,538176,1171.416667
Company 9,Group A,Motorcycles,North,2016-05-01,143,0.83333333
Company 5,Group A,Motorcycles,North,2016-05-01,728884,1517.083333
Company 6,Group A,Motorcycles,North,2016-05-01,23259,74.83333338
Company 4,Group A,Motorcycles,North,2016-05-01,1391,5.5
Company 7,Group A,Motorcycles,North,2016-05-01,21497,45.91666664
Company 3,Group A,Motorcycles,North,2016-05-01,584,2.16666666
Company 4,Group A,Motorcycles,North,2016-04-01,5121,11.66666665
Company 5,Group A,Motorcycles,North,2016-04-01,684807,1442.75
Company 3,Group A,Motorcycles,North,2016-04-01,0,0
Company 9,Group A,Motorcycles,North,2016-04-01,764,4.91666666
Company 7,Group A,Motorcycles,North,2016-04-01,29162,67.74999991
Company 6,Group A,Motorcycles,North,2016-04-01,20468,49.25000001
Company 4,Group A,Motorcycles,North,2016-03-01,3540,8.5
Company 5,Group A,Motorcycles,North,2016-03-01,348918,684.0833332
Company 7,Group A,Motorcycles,North,2016-03-01,15087,40.99999998
Company 3,Group A,Motorcycles,North,2016-03-01,597,2
Company 6,Group A,Motorcycles,North,2016-03-01,11943,20.41666668
Company 9,Group A,Motorcycles,North,2016-03-01,1098,3
Company 5,Group A,Motorcycles,North,2016-02-01,113171,219.0833334
Company 9,Group A,Motorcycles,North,2016-02-01,374,2
Company 4,Group A,Motorcycles,North,2016-02-01,2697,5
Company 3,Group A,Motorcycles,North,2016-02-01,0,0
Company 7,Group A,Motorcycles,North,2016-02-01,11156,28.83333334
Company 6,Group A,Motorcycles,North,2016-02-01,968,2.91666668
Company 4,Group A,Motorcycles,North,2016-01-01,1817,3.41666667
Company 5,Group A,Motorcycles,North,2016-01-01,70751,148.0833335
Company 6,Group A,Motorcycles,North,2016-01-01,64,0.33333335
Company 7,Group A,Motorcycles,North,2016-01-01,9932,16.66666667
Company 9,Group A,Motorcycles,North,2016-01-01,174,1
Company 7,Group A,Motorcycles,South,2016-01-01,13147,44.66666667
Company 3,Group A,Motorcycles,South,2016-01-01,327,1
Company 4,Group A,Motorcycles,South,2016-01-01,-41,-0.41666666
Company 6,Group A,Motorcycles,South,2016-01-01,705,1.83333335
Company 5,Group A,Motorcycles,South,2016-01-01,92181,237.7500001
Company 7,Group A,Motorcycles,South,2016-02-01,7519,26.49999998
Company 9,Group A,Motorcycles,South,2016-02-01,1516,2
Company 6,Group A,Motorcycles,South,2016-02-01,-218,-1.24999998
Company 4,Group A,Motorcycles,South,2016-02-01,-480,-1
Company 5,Group A,Motorcycles,South,2016-02-01,129440,321.5
Company 7,Group A,Motorcycles,South,2016-03-01,21346,68.16666661
Company 9,Group A,Motorcycles,South,2016-03-01,332,2
Company 6,Group A,Motorcycles,South,2016-03-01,4517,12.83333334
Company 5,Group A,Motorcycles,South,2016-03-01,351133,834.8333331
Company 3,Group A,Motorcycles,South,2016-03-01,1613,5.33333332
Company 4,Group A,Motorcycles,South,2016-03-01,739,2
Company 8,Group A,Motorcycles,South,2016-04-01,58,0.16666666
Company 4,Group A,Motorcycles,South,2016-04-01,2363,4.66666666
Company 5,Group A,Motorcycles,South,2016-04-01,479152,1231.333333
Company 7,Group A,Motorcycles,South,2016-04-01,34160,101.3333332
Company 6,Group A,Motorcycles,South,2016-04-01,8378,27.75000001
Company 9,Group A,Motorcycles,South,2016-04-01,75,0.25
Company 9,Group A,Motorcycles,South,2016-05-01,541,3.33333334
Company 4,Group A,Motorcycles,South,2016-05-01,2996,5.5
Company 7,Group A,Motorcycles,South,2016-05-01,26285,82.58333322
Company 6,Group A,Motorcycles,South,2016-05-01,8051,26.00000001
Company 3,Group A,Motorcycles,South,2016-05-01,1540,6.83333332
Company 5,Group A,Motorcycles,South,2016-05-01,470085,1209.583333
Company 8,Group A,Motorcycles,South,2016-05-01,-24,-0.08333333
Company 5,Group A,Motorcycles,South,2016-06-01,409194,1039.666666
Company 9,Group A,Motorcycles,South,2016-06-01,374,2.83333333
Company 6,Group A,Motorcycles,South,2016-06-01,13853,36.33333333
Company 4,Group A,Motorcycles,South,2016-06-01,361,2.91666667
Company 3,Group A,Motorcycles,South,2016-06-01,772,2
Company 7,Group A,Motorcycles,South,2016-06-01,22732,85.24999991
Company 6,Group A,Motorcycles,South,2016-07-01,14769,36.00000001
Company 3,Group A,Motorcycles,South,2016-07-01,0,0
Company 5,Group A,Motorcycles,South,2016-07-01,323365,828.25
Company 7,Group A,Motorcycles,South,2016-07-01,20456,80.99999997
Company 4,Group A,Motorcycles,South,2016-07-01,2255,5.33333333
Company 9,Group A,Motorcycles,South,2016-07-01,146,0.25
Company 9,Group A,Motorcycles,South,2016-08-01,21,0.08333333
Company 7,Group A,Motorcycles,South,2016-08-01,18632,64.58333331
Company 3,Group A,Motorcycles,South,2016-08-01,1026,5
Company 5,Group A,Motorcycles,South,2016-08-01,237354,666.4166668
Company 4,Group A,Motorcycles,South,2016-08-01,413,2.25
Company 6,Group A,Motorcycles,South,2016-08-01,7018,20.41666665
Company 5,Group A,Motorcycles,South,2016-09-01,167540,437.8333336
Company 6,Group A,Motorcycles,South,2016-09-01,4385,12.00000001
Company 9,Group A,Motorcycles,South,2016-09-01,174,1
Company 4,Group A,Motorcycles,South,2016-09-01,1592,5.91666666
Company 7,Group A,Motorcycles,South,2016-09-01,18160,73.50000002
Company 6,Group A,Motorcycles,South,2016-10-01,2678,4.75000001
Company 7,Group A,Motorcycles,South,2016-10-01,12268,53.4166667
Company 4,Group A,Motorcycles,South,2016-10-01,1394,5
Company 5,Group A,Motorcycles,South,2016-10-01,135027,358.3333336
Company 9,Group A,Motorcycles,South,2016-10-01,52,1
Company 3,Group A,Motorcycles,South,2016-10-01,2322,6
Company 6,Group A,Motorcycles,South,2016-11-01,3974,6.58333336
Company 7,Group A,Motorcycles,South,2016-11-01,10795,41.33333334
Company 3,Group A,Motorcycles,South,2016-11-01,888,2
Company 9,Group A,Motorcycles,South,2016-11-01,0,0
Company 4,Group A,Motorcycles,South,2016-11-01,1054,1.5
Company 5,Group A,Motorcycles,South,2016-11-01,90088,255.5833336
Company 7,Group A,Motorcycles,South,2016-12-01,6930,19.83333333
Company 6,Group A,Motorcycles,South,2016-12-01,57,4.08333334
Company 5,Group A,Motorcycles,South,2016-12-01,56399,173.7500001
Company 3,Group A,Motorcycles,South,2016-12-01,0,0
Company 4,Group A,Motorcycles,South,2016-12-01,1750,4
Company 4,Group A,Motorcycles,Calgary,2017-01-01,1743,3.08333333
Company 5,Group A,Motorcycles,Calgary,2017-01-01,161091,420.9166669
Company 7,Group A,Motorcycles,Calgary,2017-01-01,14591,43.75000002
Company 3,Group A,Motorcycles,Calgary,2017-01-01,1613,4
Company 6,Group A,Motorcycles,Calgary,2017-01-01,935,3.66666668
Company 9,Group A,Motorcycles,Calgary,2017-01-01,1461,7.08333334
Company 3,Group A,Motorcycles,Calgary,2017-02-01,1149,4
Company 5,Group A,Motorcycles,Calgary,2017-02-01,237478,618.1666668
Company 4,Group A,Motorcycles,Calgary,2017-02-01,200,2
Company 6,Group A,Motorcycles,Calgary,2017-02-01,7025,14.16666666
Company 7,Group A,Motorcycles,Calgary,2017-02-01,20097,53.16666668
Company 9,Group A,Motorcycles,Calgary,2017-02-01,519,3.25
Company 4,Group A,Motorcycles,Calgary,2017-03-01,6156,13.33333333
Company 9,Group A,Motorcycles,Calgary,2017-03-01,2557,15.08333331
Company 7,Group A,Motorcycles,Calgary,2017-03-01,30848,88.0833333
Company 5,Group A,Motorcycles,Calgary,2017-03-01,634923,1595.75
Company 6,Group A,Motorcycles,Calgary,2017-03-01,4323,15.41666667
Company 3,Group A,Motorcycles,Calgary,2017-03-01,2177,7
Company 7,Group A,Motorcycles,Calgary,2017-04-01,28742,83.33333333
Company 5,Group A,Motorcycles,Calgary,2017-04-01,917182,2317.833333
Company 3,Group A,Motorcycles,Calgary,2017-04-01,920,1.5
Company 9,Group A,Motorcycles,Calgary,2017-04-01,2132,14.24999998
Company 4,Group A,Motorcycles,Calgary,2017-04-01,6846,11.5
Company 6,Group A,Motorcycles,Calgary,2017-04-01,16741,43.66666673
Company 4,Group A,Motorcycles,Calgary,2017-05-01,4579,8.49999999
Company 6,Group A,Motorcycles,Calgary,2017-05-01,26492,63.83333338
Company 7,Group A,Motorcycles,Calgary,2017-05-01,27568,84.24999993
Company 3,Group A,Motorcycles,Calgary,2017-05-01,978,0.25000001
Company 9,Group A,Motorcycles,Calgary,2017-05-01,7082,19.49999998
Company 5,Group A,Motorcycles,Calgary,2017-05-01,957205,2481.166666
Company 6,Group A,Motorcycles,Calgary,2017-06-01,25363,62.75000002
Company 9,Group A,Motorcycles,Calgary,2017-06-01,3048,8.91666667
Company 3,Group A,Motorcycles,Calgary,2017-06-01,3167,11.08333333
Company 4,Group A,Motorcycles,Calgary,2017-06-01,5952,7.08333333
Company 7,Group A,Motorcycles,Calgary,2017-06-01,24126,81.74999995
Company 5,Group A,Motorcycles,Calgary,2017-06-01,815965,2172.083333
Company 9,Group A,Motorcycles,Calgary,2017-07-01,3199,11.99999998
Company 5,Group A,Motorcycles,Calgary,2017-07-01,589676,1531.833334
Company 6,Group A,Motorcycles,Calgary,2017-07-01,21014,57.83333334
Company 4,Group A,Motorcycles,Calgary,2017-07-01,3846,7.41666668
Company 7,Group A,Motorcycles,Calgary,2017-07-01,19401,65.5
Company 3,Group A,Motorcycles,Calgary,2017-07-01,2376,6.91666666
Company 4,Group A,Motorcycles,Calgary,2017-08-01,2982,7.83333335
Company 6,Group A,Motorcycles,Calgary,2017-08-01,11621,33.66666671
Company 7,Group A,Motorcycles,Calgary,2017-08-01,17795,53.49999999
Company 9,Group A,Motorcycles,Calgary,2017-08-01,1804,11.24999999
Company 9,Group A,Motorcycles,Calgary,2018-05-01,4102,19.49999998
Company 7,Group A,Motorcycles,Calgary,2018-05-01,27106,92.66666663
Company 5,Group A,Motorcycles,Calgary,2018-05-01,1073920,2914.916666
Company 4,Group A,Motorcycles,Calgary,2018-05-01,1542,4.50000001
Company 4,Group A,Motorcycles,Calgary,2018-06-01,2175,9.24999999
Company 5,Group A,Motorcycles,Calgary,2018-06-01,867937,2328.25
Company 9,Group A,Motorcycles,Calgary,2018-06-01,4693,14.41666666
Company 3,Group A,Motorcycles,Calgary,2018-06-01,2300,8
Company 7,Group A,Motorcycles,Calgary,2018-06-01,22358,72.5
Company 6,Group A,Motorcycles,Calgary,2018-06-01,18085,44.33333335
Company 6,Group A,Motorcycles,Calgary,2018-07-01,17511,52.91666668
Company 5,Group A,Motorcycles,Calgary,2018-07-01,605370,1643.916667
Company 4,Group A,Motorcycles,Calgary,2018-07-01,2058,6.41666666
Company 9,Group A,Motorcycles,Calgary,2018-07-01,2401,14.74999997
Company 3,Group A,Motorcycles,Calgary,2018-07-01,2047,6.16666667
Company 7,Group A,Motorcycles,Calgary,2018-07-01,18754,67.49999998
Company 5,Group A,Motorcycles,Calgary,2018-08-01,441138,1213.666667
Company 3,Group A,Motorcycles,Calgary,2018-08-01,812,5
Company 7,Group A,Motorcycles,Calgary,2018-08-01,21294,60.49999999
Company 6,Group A,Motorcycles,Calgary,2018-08-01,11365,36.08333335
Company 9,Group A,Motorcycles,Calgary,2018-08-01,1160,7.08333334
Company 4,Group A,Motorcycles,Calgary,2018-08-01,6971,13.3333333
Company 5,Group A,Motorcycles,Calgary,2018-09-01,288140,748.0000008
Company 4,Group A,Motorcycles,Calgary,2018-09-01,3861,10.16666666
Company 6,Group A,Motorcycles,Calgary,2018-09-01,10368,24.50000002
Company 3,Group A,Motorcycles,Calgary,2018-09-01,0,0
Company 9,Group A,Motorcycles,Calgary,2018-09-01,-827,3.16666668
Company 7,Group A,Motorcycles,Calgary,2018-09-01,18803,58.16666668
Company 3,Group A,Motorcycles,Calgary,2018-10-01,134,1
Company 5,Group A,Motorcycles,Calgary,2018-10-01,224730,580.5833339
Company 4,Group A,Motorcycles,Calgary,2018-10-01,555,2.41666667
Company 6,Group A,Motorcycles,Calgary,2018-10-01,4865,14.41666667
Company 9,Group A,Motorcycles,Calgary,2018-10-01,1825,8.33333334
Company 7,Group A,Motorcycles,Calgary,2018-10-01,13785,52.33333338
Company 5,Group A,Motorcycles,Calgary,2018-11-01,142625,391.7500004
Company 3,Group A,Motorcycles,Calgary,2018-11-01,1935,6
Company 7,Group A,Motorcycles,Calgary,2018-11-01,12646,39
Company 9,Group A,Motorcycles,Calgary,2018-11-01,330,1.83333333
Company 6,Group A,Motorcycles,Calgary,2018-11-01,1211,2.33333334
Company 4,Group A,Motorcycles,Calgary,2018-11-01,1878,5
Company 5,Group A,Motorcycles,Calgary,2018-12-01,109060,296.7500004
